Nama Makanan,Umur,Status Gizi,Bahan-bahan,Cara Membuat,Nilai Gizi per Resep,Catatan,Nama Gambar,Nama Gambar Fix
Tim Sambal Hati Sapi,9-11 Bulan,Buruk,"2,12; Bahan, Bahan Halus; 20 gram nasi; 20 gram hati sapi; 30 ml santan cair; 20 gram kentang, potong kecil-kecil; 10 gram tomat, iris kecil-kecil; 1 lembar daun salam; 1 lembar daun jeruk; 1/2 batang sereh; 1/2 ruas lengkuas; 1/2 ruas jahe; 5 ml minyak kedelai untuk menumis; gula dan garam secukupnya; 1 siung bawang merah; 1 siung bawang putih; 1 butir kemiri;","rebus hati sapi dengan jahe sampai empuk, lalu potong kecil-kecil; tumis bumbu halus, masukkan daun salam, daun jeruk, sereh, dan lengkuas hingga harum; masukkan hati sapi, kentang, tomat, dan santan, lalu aduk merata; tambahkan gula dan garam, masak sampai airnya menyusut; masukkan nasi dan tumisan hati sapi ke dalam wadah tahan panas, kukus sekitar 15 menit. Kemudian angkat dan sajikan;","Energi;140 kkal;Karbo;12,2 gr;Protein;6,8 gr;Lemak;8 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_sambal_hati_sapi.jpg,menu_tim_sambal_hati_sapi.jpg
Tim Daging Sapi,9-11 Bulan,Buruk,"2,9; Bahan, Bahan Halus; 60 gram beras; 75 gram daging sapi cincang; 150 ml kaldu ayam matang; 1 1/2  sdm wortel, potong kecil-kecil; 1 sdm minyak sayur, untuk menumis; 1/2  sdt minyak wijen;  2 sdm kecap manis; 1/2 sdt merica bubuk; 1 sdt garam; 1 siung bawang putih;","tumis daging sapi cincang dengan bumbu halus hingga harum; masak beras dengan airkaldu, garam, dan gula, lalu aduk rata sampai matang; masukkan daging sapi cincang, kecilkan api; tambahkan wortel dan kecap manis, masak hingga empuk dan daging sapi berubah warna; tambahkan minyak jagung, aduk hingga rata; masukkan nasi ke dalam wadah tahan panas, lalu masak kembali sampai menjadi nasi tim;","Energi;141 kkal;Karbo;6 gr;Protein;6,8 gr;Lemak;9,9 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_daging_sapi.jpg,menu_tim_daging_sapi.jpg
Tim Ayam Kecap,9-11 Bulan,Kurang,"2,7; Bahan, Bahan Halus; 60 gram beras; 300 ml kaldu ayam; 100 gram daging ayam rebus, potong dadu; 1 1/2  sdm wortel parut; 2 sdm kecap manis; 1 1/2  sdm minyak jagung, untuk menumis; merica dan garam secukupnya; 1siung bawang putih; 1 siung bawang merah;","tumis bumbu halus hingga harum, masukkan potongan daging ayam rebusdan beras. Aduk hingga berwarna kekuningan; masukkan kaldu ayam, merica, wortel, kecap manis, dan garam, aduk rata; tempatkan diwadah tahan panas, lalu kukus hingga nasi matang;","Energi;128 kkal;Karbo;13,6 gr;Protein;5,8 gr;Lemak;5,4 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_ayam_kecap.jpg,menu_tim_ayam_kecap.jpg
Mie Tek-tek,12-23 Bulan,Buruk,"150 gram mie telur yang sudah direbus hingga lunak; 100 gram daging ayam rebus, potong kecil-kecil; 30 gram sawi, potong kasar; 1 telur mata sapi; 2 sdm kecap manis; 1 sdm kecap asin; 15 ml minyak kelapa, untuk menumis; garam dan gula secukupnya; merica dan bawang daun secukupnya, iris tipis;","tumis bumbu halus, lalu masukkan bawang daun hingga harum; masukkan mi, ayam, dan sawi; tambahkan kecap manis, kecap asin, gula, garam, dan merica secukupnya, lalu aduk hingga tercampur rata; hidangkan dengan telur mata sapi;","Energi;240 kkal;Karbo;28,4 gr;Protein;9,4 gr;Lemak;8,6 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,mie_tek_tek.png,menu_mie_tek_tek.png
Nasi Goreng Udang,12-23 Bulan,Kurang,"2,8; Bahan, Bahan Halus; 150 gram nasi; 100 gram udang, buang kulitnya; 1/2 sdt tepung maizena; 1 butir telur, kocok; 30 gram kacang polong; 15 ml minyak jagung, untuk menumis; daun bawang secukupnya, iris tipis; garam secukupnya; 2 siung bawang putih; 1 siung bawang merah;","lumuri udang dengan garam dan tepung maizena, diamkan sekitar 15 menit; goreng udang hingga matang, masukkan telur dan kacang polong, lalu diorak-arik. Sisihkan; tumis bumbu halus hingga harum, masukkan daun bawang; tambahkan nasi dan garam secukupnya, aduk rata; masukkan udang, orak-arik telur, dan kacang polong, lalu aduk hingga tercampur rata;","Energi;183 kkal;Karbo;17 gr;Protein;11,2 gr;Lemak;7,6 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_goreng_udang.jpeg,menu_nasi_goreng_udang.jpeg
Nasi Gurih Cah Bakso Ikan Brokoli,12-23 Bulan,Buruk,"2,4; Bahan, Bahan Tumisan; 150 gram bakso ikan, potong kecil; 1 1/2 sdm wortel potong kecil; 30 gram brokoli potong kecil; 1 sdm tepung maizena; 1/2 sdm saus tiram; 1 siung bawang putih, iris tipis; 1 buah bawang merah, iris tipis; 1 batang daun bawang, iris kasar; 2 sdm minyak kedelai, untuk menumis; merica secukupnya;","masak beras, daun salam, dan serai dengan santan hingga matang; tumis bawang putih dan bawang merah hingga harum, lalu masukkan bakso ikan, daun bawang, dan merica hingga harum; masukkan brokoli, wortel, tepung maizena, dan saus tiram. Masak hingga matang; sajikan dengan nasi gurih;","Energi;190 kkal;Karbo;19,8 gr;Protein;9,4 gr;Lemak;8,6 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_gurih_cah_bakso_ikan_brokoli.png,menu_nasi_gurih_cah_bakso_ikan_brokoli.png
Nasi Ayam Jamur,12-23 Bulan,Kurang,"2,9; Bahan, Bahan Halus; 150 gram nasi; 100 gram daging ayam cincang; 1 1/2  sdm wortel, rebus hingga empuk; 15 gram brokoli, rebus hingga empuk; 15 gram jamur merang, iris tipis; 1 1/2  sdm kecap manis; 1 sdm kecap asin; 10 ml minyak jagung, untuk menumis; garam secukupnya; 2 siung bawang putih; 1 siung bawang merah;","tumis bumbu halus hingga harum, lalu masukkan daging ayam cincang dan jamur; tambahkan garam, kecap asin, dan kecap manis, masak hingga matang; sajikan bersama nasi, wortel, dan brokoli;","Energi;180 kkal;Karbo;20,4 gr;Protein;7,1 gr;Lemak;7,5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_ayam_jamur.jpg,menu_nasi_ayam_jamur.jpg
Sup Ayam,12-23 Bulan,Buruk,"150 gram nasi; 100 gram dada ayam rebus, suwir; 750 ml kaldu ayam; 30 gram jagung manis pipil; 1/2 batang wortel, potong kotak; 1 batang daun bawang, potong kecil; 1/4 tomat, potong kecil; 2 sdm margarin; garam dan Merica secukupnya; pala dan seledri secukupnya;","rebus kaldu ayam dengan wortel, jagung manis, seledri, dan daun bawang hingga harum; masukkan dada ayam suwir, garam, merica, dan pala secukupnya, masak hingga mendidih; masukkan tomat, masak hingga layu; sajikan dengan nasi dan mentega yang dilelehkan di atas nasi;","Energi;210 kkal;Karbo;24,2 gr;Protein;10,1 gr;Lemak;8,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,sup_ayam.jpg,menu_sup_ayam.jpg
Nasi Bakar Tuna,24-59 Bulan,Buruk,"2,10; Bahan, Bahan Halus; 200 gram nasi; 100 gram ikan tuna rebus, suwir kecil-kecil; 15 gram bayam, rebus matang; 1/2 ruasjahe, memarkan; 1/2 ruas lengkuas, memarkan; 1 batang serai; 1 lembardaun salam; 15 ml minyak kelapa, untuk menumis; garam secukupnya; daun pisang  dan Kemangi secukupnya; 3 siung bawang putih; 4 buah bawang merah; 1 butir kemiri;","tumis bumbu halus, lalu masukkan jahe, lengkuas, serai, dan daun salam, hingga harum; masukkan ikan tuna suw?r, tuang airsecukupnya, lalu adukhingga tercampur rata; masukkan daun bayam dan garam secukupnya; bungkus nasi dengan daun pisang dan letakkan tumisan tuna diatasnya. Tambahkan kemangi; bakar nasi bungkus hingga daun pisang kering;","Energi;170 kkal;Karbo;18,7 gr;Protein;11,2 gr;Lemak;5,1 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_bakar_tuna.jpg,menu_nasi_bakar_tuna.jpg
Nasi Pepes Udang,24-59 Bulan,Kurang,"2,10; Bahan, Bahan Halus; 150 gram nasi; 75 gram udang, cincang halus; 200 gram tahu putih, haluskan; 1 butir telur ayam, kocok lepas; 1 batang serai; 2 lembar daun salam; 1 lembar daun jeruk; 10 ml minyak kedelai, untuk menumis; kemangi secukupnya; garam, gula, dan merica secukupnya; 2 siung bawang putih; 3 buah bawang merah; 1 cm kunyit; 1 butir kemiri;","tumis bumbu halus bersama daunjeruk, daun salam, dan serai hingga harum; campur tumisan bumbu ke dalam adonan tahu halus, lalu masukkan udang giling, telur, dan kemangi; tambahkan gula, garam, dan merica; bagi adonan menjadi 3, lalu bungkus tiap adonan dengan daun pisang; kukus sekitar 25 menit; sajikan bersama nasi;","Energi;180 kkal;Karbo;15,7 gr;Protein;14 gr;Lemak;8,7 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_pepes_udang.png,menu_nasi_pepes_udang.png
Nasi Telur Daging Kukus,24-59 Bulan,Kurang,"2,9; Bahan, Bahan Halus; 150 gram nasi; 90 gram daging sapi cincang; 1 sdm wortel, parut; 1 butir telur, kocok lepas; 1/2 sdt kecap asin; 1/2 sdt minyak wijen; 50 ml air; 10 ml minyak canola; garam secukupnya; 1 siung bawang putih; 1 buah bawang merah;","campur semua bahan (kecuali nasi) dan bumbu halus hingga rata; masukkan dalam wadah tahan panas, lalu kukus hingga matang; sajikan dengan nasi;","Energi;180 kkal;Karbo;15,7 gr;Protein;14 gr;Lemak;8,7 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_telur_daging_kukus.jpg,menu_nasi_telur_daging_kukus.jpg
Nasi Rendang Telur Tempe,24-59 Bulan,Buruk,"2,9; Bahan, Bahan Halus; 150 gram nasi; 2 butir telurayam rebus; 60 gram tempe, potong kecil; 300 ml santan cair; 1/2 ruas lengkuas; 2 lembar daun jeruk; 1 batang serai; 1/2 sdm gula; garam secukupnya; 2 siung bawang putih; 2 buah bawang merah; 1/2 ruasjahe; 1 butir kemiri;","rebus bumbu halus bersama dengan santan, lengkuas, daun jeruk, serai, gula, dan garam. Masak hingga santan mengental; masukkan telur rebus dan tempe, lalu masak dengan api kecil hingga santan mengering; sajikan dengan nasi;","Energi;300 kkal;Karbo;20,1 gr;Protein;12,2 gr;Lemak;25 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_rendang_telur_tempe.png,menu_nasi_rendang_telur_tempe.png
Sate Ayam,24-59 Bulan,Buruk,"3,5,3; Bahan, Bahan Halus, Saus Kacang; 100 gram daging ayam fillet, potong dadu; 1 siung bawang putih, haluskan; jeruk nipis, dan merica secukupnya; kecap manis, dan margarin secukupnya; 2 siung bawang putih; 3 siung bawang merah; 1 butir kemiri sangrai; 60 gram kacang tanah goreng, tumbuk halus; 1 lembar daun jeruk, iris tipis; 1 1/2 sdm kecap manis; 1/2 sdm gula merah, serut halus; 1/2 sdt garam; 250 ml air; 2 sdm minyak kelapa, untuk menumis;","2,4; Cara Membuat Sate, Cara Membuat Saus Kacang; lumuri daging ayam denganjeruk nipis, bawang putih, dan merica. Diamkan selama 15 menit; tusukkan daging ayam ketusuk sate; oleskan daging ayam dengan saus kacang, margarin, dan kecap manis, lalu bakarhingga matang; sajikan dengan nasi dan saus kacang; tumis bumbu halus bersama daunjeruk hingga harum; masukkan kacangtanah tumbuk, lalu tambahkan gula merah, kecap manis, dan garam. Aduk sampai tercampur rata; tuangkan air dan masak hingga saus mengental;","Energi;260 kkal;Karbo;16,6 gr;Protein;12,2 gr;Lemak;21,1 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,sate_ayam.png,menu_sate_ayam.png
Bubur Hati Ayam,6-8 Bulan,Obesitas,"60 gr nasi; 30 gr hati ayam cincang halus; 10 g bayam iris kecil; 7,5 ml minyak sayur; garam secukupnya; 1/2 siung bawang putih (bumbu halus); 1/2 siung bawang merah (bumbu halus); 1/2 ruas jahe (bumbu halus);","tumis bumbu halus hingga harum; tambahkan hati ayam, masak hingga berubah warna; masukkan bayam dan garam secukupnya, masak hingga matang; tambahkan nasi, lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;67 kkal;Karbo;6 gr;Protein;3,1 gr;Lemak;3 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_hati_ayam.png,menu_bubur_hati_ayam.png
Bubur Hati Ayam Santan,6-8 Bulan,Obesitas,"60 gram nasi; 30 gram hati ayam, cincang halus; 1  sdm wortel, parut; 50 ml santan cair; 7,5 ml minyak kelapa sawit, untuk menumis;  air secukupnya Garam secukupnya; 1/2 siung bawang putih (bumbu halus); 1/2 siung bawang merah (bumbu halus);","tumis bumbu halus hingga harum; masukkan wortel dan hati ayam, lalu tambahkan airsecukupnya; masak hingga matang dan air berkurang; masukkan santan dan garam secukupnya, aduk hingga merata; tambahkan nasi, lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;75 kkal;Karbo;6,2 gr;Protein;3,3 gr;Lemak;4,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_hati_ayam_santan.png,menu_bubur_hati_ayam_santan.png
Bubur Pepes Hati Ayam,6-8 Bulan,Lebih,"60 gram nasi; pepes Hati Ayam; 5 gram hati ayam, cincang halus; 1  sdm wortel, parut; 7,5 ml minyak kelapa; 10 gram tomat, potong kecil-kecil; 1  lembar daun jeruk; 1 lembar daun salam; kemangi secukupnya; 1/2 siung bawang putih (bumbu halus); 1/2 siung bawang merah (bumbu halus); 1/2 ruas jahe (bumbu halus); kunyit secukupnya (bumbu halus); lengkuas secukupnya (bumbu halus); serai secukupnya (bumbu halus); gula dan garam secukupnya (bumbu halus);","campurkan wortel, tomat, daun salam, daun jeruk, dan kemangi dengan bumbu halus. Aduk hingga rata; masukkan hati ayam dan minyak kelapa, lalu bungkus dengan daun pisang; kukus hingga matang; ketika akan dicampur dengan nasi, ambil daun salam, kemangi, dan daunjeruknya, lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;73 kkal;Karbo;6,2 gr;Protein;4,3 gr;Lemak;3,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_pepes_hati_ayam.png,menu_bubur_pepes_hati_ayam.png
Bubur Udang Tahu,6-8 Bulan,Lebih,"60 gram nasi;  45 gram udang giling; 30 ml santan cair; 20 gram tahu, potong kecil-kecil; 10 gram tomat, potong kecil-kecil; kemangi, Daun salam, dan Jeruk nipis secukupnya; garam secukupnya; 1 siung bawang merah (bumbu halus); 1/2 siung bawang putih (bumbu halus);  1 butir kemiri (bumbu halus); 1/2 cm jahe (bumbu halus); gula secukupnya (bumbu halus);","lumuri udang dengan air jeruk nipis dan garam, lalu diamkan sekitar 15 menit; campur udang, tahu, tomat, kemangi, santan cair, dan bumbu halus hingga merata; bungkus dengan daun pisang, masukkan juga daun salam; kukus hingga matang; ketika akan dicampur dengan nasi, ambil kemangi dan daun salamnya. Lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;75 kkal;Karbo;6,1 gr;Protein;4,3 gr;Lemak;3,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_udang_tahu.png,menu_bubur_udang_tahu.png
Bubur Udang Buncis,6-8 Bulan,Lebih,"2,5; Bahan, Bahan Halus; 60 gram nasi; 40 gram udang giling; 10 gram buncis, potong kecil-kecil; 7,5 ml minyak jagung, untuk menumis; jeruk nipis secukupnya; 1/2 siung bawang putih; 1/2 siung bawang merah; garam secukupnya;","lumuri udang dengan jeruk nipis dan garam, diamkan sekitar 15 menit; tumis bumbu halus hingga harum; masukkan udang dan buncis hingga matang; tambahkan nasi, lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;67 kkal;Karbo;6 gr;Protein;3,2 gr;Lemak;2,5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_udang_buncis.png,menu_bubur_udang_buncis.png
Tim Tuna,9-11 Bulan,Lebih,"2,7; Bahan, Bahan Halus; 90 gram nasi; 90 gram ikan tuna, potong kecil-kecil; 1 1/2 sdm wortel parut; 1 tangkai daun bawang; 1 iris jahe; 5 ml minyak jagung, untuk menumis; garam dan Kecap secukupnya; 1 siung bawang putih; 1 siung bawang merah;","tumis bumbu halus hingga harum; masukkan ikan tuna, tambahkan sedikit air, lalu masukkan wortel, daun bawang, jahe, garam, dan kecap; masak hingga matang dan air berkurang sesuai selera. Masukkan ikan tuna dan nasi ke dalam wadah tahan panas, lalu kukus sekitar 20 menit;","Energi;110 kkal;Karbo;8,8 gr;Protein;8,7 gr;Lemak;5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_tuna.png,menu_tim_tuna.png
Tim Soto Daging,9-11 Bulan,Lebih,"2,12; Bahan, Bahan Halus; 75 gram nasi, kukus hingga menjadi nasi tim; 50 gram daging sapi, potong kecil-kecil; 1/2 butir telur rebus;  1 batang serai; 1 batang daun bawang, potong kecil-kecil; 2 lembar daun jeruk; 1 sdt garam; 1/2 sdt gula; 300 ml air untuk merebus; 7,5ml minyak jagung, untuk menumis; 1 tomat besar, iris tipis; bawang goreng secukupnya; 3 siung bawang merah; 2 siung bawang putih; 1/2 kemiri ; 1/2 sdt ketumbar; kunyit dan Jahe secukupnya;","rebus daging sapi dengan api kecil hingga empuk; tumis bumbu halus, lalu masukkan serai dan daun jeruk hingga harum; masukkan bumbu yang sudah ditumis ke dalam panci berisi daging sapi; masukkan gula dan garam, biarkan mendidih; setelah matang, masukkan potongan tomat, daun bawang, dan taburan bawang goreng; sajikan dengan telur rebus dan nasi tim;","Energi;110 kkal;Karbo;7,5 gr;Protein;5,8 gr;Lemak;7 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_soto_daging.png,menu_tim_soto_daging.png
Kentang Dori Saus Keju,9-11 Bulan,Lebih,50 gram ikan dori; 150 gram kentang; 40 gram keju parut; tepung roti secukupnya; 40 ml susu UHT full cream; 50 ml air untuk merebus; 1 kuning telur; 2 sdm tepung maizena; keju parut secukupnya;,"2,3; Cara Membuat Saus Keju, Cara Membuat Kentang Dori; panaskan susu dengan api kecil, masukkan parutan keju, aduk sampai keju mencair dan susu mendidih; aduk maizena, kuning telur, dan air sampai tercampur rata; masukkan kedalam campuran susu dan keju sedikit demi sedikit sambil diaduk terus menggunakan api kecil. Angkat dari kompor; kukus kentang dan ikan dori secara terpisah, lalu haluskan; campur kentang, ikan dori, dan keju, lalu bentuk adonan menjadi bulatan; gulirkan ke tepung roti hingga permukaannya tertutup dengan rata, lalu goreng; sajikan dengan saus keju;","Energi;110 kkal;Karbo;11 gr;Protein;7,1 gr;Lemak;5,6 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,kentang_dori_saus_keju.png,menu_kentang_dori_saus_keju.png
Tim Kuning Semur Hati Ayam,9-11 Bulan,Obesitas,"2,9; Bahan Nasi Tim Kuning, Bahan Semur Hati; 60gram beras; 200 ml air; 1 1/2 sdm wortel parut; 20 gram tempe, potong kecil-kecil; 1/2 sdt kunyit bubuk; 2 lembar daun salam; 1 siung bawang merah, geprek; 1 batang daun bawang, potong kecil-kecil; 1 batang seledri, potong kecil-kecil; 40 gram hati ayam, potong kecil-kecil; 1 siung bawang putih, haluskan; 1/2 tomat, haluskan; 1/4  sdt kunyit bubuk; 1 sdt kecap manis; 10 ml minyak jagung, untuk menumis; garam dan gula secukupnya;","2,3; Cara Membuat Nasi Kuning, Cara Membuat Semur Hati Ayam; rebus beras, tambahkan daun salam, bawang merah, daun bawang, dan seledri sampai setengah matang; masukkan wortel dan tempe, beri kunyit bubuk. Aduk rata; masukkan nasi ke dalam wadah tahan panas, lalu masak kembali sampai menjadi nasi tim; tumis bawang putih dan tomat sampai harum; masukkan kunyit bubuk, garam, dan gula secukupnya; masukkan hati ayam dan tambahkan sedikit air agar tidak terlalu kering. Terakhir bubuhi kecap manis. Masak hingga matang; angkat dan sajikan dengan nasi tim;","Energi;109 kkal;Karbo;11,5 gr;Protein;5,7 gr;Lemak;4,5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_kuning_semur_hati_ayam.png,menu_tim_kuning_semur_hati_ayam.png
Tim Semur Sapi Tempe,9-11 Bulan,Obesitas,"2,8; Bahan, Bahan Halus; 75 gram nasi; 60 gram daging sapi, potong dadu kecil-kecil; 20 gram tempe, potong kecil-kecil; 7,5 cc minyak jagung; 20 gram tomat; 1/2 jeruk nipis; 1/4 sdt kecap manis; 1/4 sdt garam; 1 siung bawang merah; 1/2 siung bawang putih;","lumuri potongan dadu sapi dengan perasan jeruk nipis, diamkan selama 10 menit, lalu lumuri dengan bumbu halus; beri kecap manis, garam, dan irisan tomat; masukkan tempe, lalu turnis hingga matang; masukkan nasi ke dalam wadah tahan panas, tambahkan tumisan daging dan sedikit air serta minyak jagung, lalu kukus hingga menjadi nasi tim;","Energi;108 kkal;Karbo;8,9 gr;Protein;7,6 gr;Lemak;4,1 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_semur_sapi_tempe.png,menu_tim_semur_sapi_tempe.png
Nasi Ayam Katsu,12-23 Bulan,Lebih,200 gram nasi; 100 gram daging ayam fillet; 20 gram wortel; 20 gram buncis; 1/2  butir telur kocok;  1 jeruk nipis; tepung panir secukupnya; garam dan Merica secukupnya; minyak untuk menggoreng secukupnya;,"rebus wortel dan buncis dengan sedikit garam hingga matang; lumuri daging ayam dengan jeruk nipis, garam, dan merica; celupkan ayam kedalam telur, lalu gulingkan ke dalam tepung panir hingga seluruh permukaannya tertutup rata; goreng dengan minyak hingga matang; sajikan dengan wortel, buncis, dan nasi;","Energi;186 kkal;Karbo;20 gr;Protein;7,9 gr;Lemak;8,3 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_ayam_katsu_lebih.png,menu_nasi_ayam_katsu_lebih.png
Nasi Gadon Daging,12-23 Bulan,Obesitas,"2,7; Bahan, Bahan Halus; 100 gram daging sapi giling; 60 ml santan cair; 1/2  butirtelur kocok; 1/2 sdt gula merah; 3 lembar daun jeruk; 3 lembar daun salam; garam secukupnya; 2 siung bawang merah; 1 siung bawang putih; 1 butir kemiri sangrai; ketumbar dan Merica secukupnya;","campur jadi satu daging giling, telur, santan, bumbu halus, garam, dan gula merah; bagi adonan menjadi 3 bagian; tambahkan daun jeruk dan daun salam dalam tiap adonan, lalu bungkus dengan daun pisang; kukus sekitar 45 menit hingga matang. Sajikan dengan nasi;","Energi;174 kkal;Karbo;9,9 gr;Protein;11,1 gr;Lemak;9,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_gadon_daging.png,menu_nasi_gadon_daging.png
Nasi Cah Siram Sapi,12-23 Bulan,Obesitas,"2,5; Bahan, Bahan Halus; 100 gram daging sapi, potong kecil-kecil lalu rebus; 1/2 tomat ; 1/4 bawang bombai, iris; 1/2  sdt guia pasir; saus tiram secukupnya; kecap manis secukupnya; 1 siung bawang putih; 1 butir bawang merah; 1/4  ruas jahe;","tumis bumbu ulek hingga harum, lalu masukkan irisan bawang bombai, dan tambahkan air secukupnya; tambahkan bumbu pelengkap (saus tiram, kecap, gula); masukkan potongan daging sapi yang sudah direbus dan potongan tomat. Hidangkan dengan nasi;","Energi;176 kkal;Karbo;14,4 gr;Protein;9,5 gr;Lemak;8,5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_cah_siram_sapi.png,menu_nasi_cah_siram_sapi.png
Nasi Bebek Ungkep,12-23 Bulan,Lebih,"100 gram bebek muda, potong kecil; 1 sdm minyak; 1 sdm kecap manis; 1 sdm kecap asin; 1/2 sdm daun bawang, iris tipis; 1/2 sdm minyak wijen; 10 ml minyak jagung untuk menumis; 1/2  sdm irisan bawang putih; 1/2 sdt merica; garam secukupnya;","tumis bumbu halus hingga harum; masukkan bebek dan bumbu lainnya, serta 125 mI air; masak hingga daging bebek empuk. Sajikan bersama nasi;","Energi;193 kkal;Karbo;9,1 gr;Protein;7,4 gr;Lemak;14,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_bebek_ungkep.png,menu_nasi_bebek_ungkep.png
